"Fiscal_Year","SubCustomer","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change"
2009,"Navy","Topline",117533452755.875,118184284493.968,-650831738.092794,62222771030.4979,55310681725.3772,-0.00550692286101721,0.888913830248209
2010,"Air Force","Engines",1756470307.72954,2087358174.01588,-330887866.286341,3341073252.78117,-1584602945.05163,-0.158519927440025,-0.474279617704454
2010,"Air Force","Topline",78263441160.562,83233852853.1907,-4970411692.62869,58352469213.8231,19910971946.7389,-0.0597162274993515,0.34121901292263
2010,"Army","Engines",780517423.331921,834695719.868877,-54178296.5369561,1032405549.59342,-251888126.261498,-0.0649078403630331,-0.243981763136295
2010,"Army","Topline",170232878251.999,180664413312.892,-10431535060.8931,56620882464.0461,113611995787.953,-0.0577398441099008,2.00653876880311
2010,"DLA","Engines",1513935268.93638,1148205801.03436,365729467.902018,579516667.894779,934418601.041597,0.318522574587719,1.61241022529357
2010,"DLA","Topline",42140608198.4611,46645021655.6633,-4504413457.20222,14727836081.5909,27412772116.8702,-0.0965679358121882,1.86128987075942
2010,"Navy","Engines",2749269393.78318,3252060530.67838,-502791136.895195,1263872297.94853,1485397095.83465,-0.154606942937287,1.17527466837093
2010,"Navy","Topline",106218729464.169,117533452755.875,-11314723291.7064,62222771030.4979,43995958433.6708,-0.0962681094310044,0.707071666932137
2011,"Air Force","Engines",1581760508.13295,1756470307.72954,-174709799.596587,3341073252.78117,-1759312744.64822,-0.0994664121720463,-0.526571137937109
2011,"Air Force","Topline",77118695281.9668,78263441160.562,-1144745878.59522,58352469213.8231,18766226068.1437,-0.0146268278217758,0.321601233349319
2011,"Army","Engines",808579121.297016,780517423.331921,28061697.9650949,1032405549.59342,-223826428.296403,0.0359526861620889,-0.216800876733518
2011,"Army","Topline",147839050750.444,170232878251.999,-22393827501.5544,56620882464.0461,91218168286.3984,-0.131548192872615,1.6110340269656
2011,"DLA","Engines",1350450149.84309,1513935268.93638,-163485119.093282,579516667.894779,770933481.948316,-0.107986862085682,1.33030424258357
2011,"DLA","Topline",42588873675.3234,42140608198.4611,448265476.862332,14727836081.5909,27861037593.7325,0.0106373755867791,1.89172648577733
2011,"Navy","Engines",3227512649.99778,2749269393.78318,478243256.214602,1263872297.94853,1963640352.04926,0.173952853545759,1.55366990417985
2011,"Navy","Topline",122558957427.88,106218729464.169,16340227963.7108,62222771030.4979,60336186397.3816,0.153835656349315,0.969680157249962
2012,"Air Force","Engines",1032472903.60599,1581760508.13295,-549287604.526963,3341073252.78117,-2308600349.17518,-0.347263445826777,-0.690975675930918
2012,"Air Force","Topline",82603410132.2566,77118695281.9668,5484714850.28982,58352469213.8231,24250940918.4335,0.0711204310477014,0.415594082738296
2012,"Army","Engines",804084556.616608,808579121.297016,-4494564.68040818,1032405549.59342,-228320992.976811,-0.00555859601370685,-0.221154364258046
2012,"Army","Topline",125913504492.96,147839050750.444,-21925546257.4842,56620882464.0461,69292622028.9142,-0.14830686578538,1.22379975396736
2012,"DLA","Engines",1284972353.65581,1350450149.84309,-65477796.1872859,579516667.894779,705455685.76103,-0.0484859039001874,1.21731733501946
2012,"DLA","Topline",49901736672.5952,42588873675.3234,7312862997.27178,14727836081.5909,35173900591.0043,0.171708297641808,2.38825991789588
2012,"Navy","Engines",3167820174.09983,3227512649.99778,-59692475.8979499,1263872297.94853,1903947876.15131,-0.0184948851859623,1.5064400724992
2012,"Navy","Topline",109315034104.416,122558963276.307,-13243929171.8916,62222736525.2979,47092297579.1178,-0.10806169388063,0.75683424112939
2013,"Air Force","Engines",1874521162.27473,1032472903.60599,842048258.668743,3341073252.78117,-1466552090.50644,0.815564510921136,-0.438946404208783
2013,"Air Force","Topline",62728457638.1312,82603410132.2566,-19874952494.1254,58352469213.8231,4375988424.30804,-0.240606924850967,0.0749923436534098
2013,"Army","Engines",589316653.35494,804084556.616608,-214767903.261667,1032405549.59342,-443088896.238479,-0.267096167305287,-0.429181048487172
2013,"Army","Topline",99254322234.5524,125913504492.96,-26659182258.4079,56620882464.0461,42633439770.5063,-0.211726155711108,0.752963180988539
2013,"DLA","Engines",1121428484.32102,1284972353.65581,-163543869.334785,579516667.894779,541911816.426244,-0.127274231908177,0.935109974308172
2013,"DLA","Topline",38471106839.6636,49901736672.5952,-11430629832.9316,14727836081.5909,23743270758.0727,-0.229062766050165,1.61213572900575
2013,"Navy","Engines",3173730078.00929,3167820174.09983,5909903.90945631,1263872297.94853,1909857780.06076,0.00186560586922699,1.51111610180932
2013,"Navy","Topline",107085125728.769,109315034104.416,-2229908375.64662,62222736525.2979,44862389203.4712,-0.0203989176229562,0.720996724167403
2014,"Air Force","Engines",2082223294.11842,1874521162.27473,207702131.843689,3341073252.78117,-1258849958.66275,0.110802767140619,-0.376780113280922
2014,"Air Force","Topline",62578697343.4825,62728457638.1312,-149760294.648632,58352469213.8231,4226228129.65941,-0.00238743785974416,0.0724258662332366
2014,"Army","Engines",318381459.568335,589316653.35494,-270935193.786605,1032405549.59342,-714024090.025084,-0.459744675878731,-0.691612022335874
2014,"Army","Topline",84595386163.8333,99254435841.4284,-14659049677.5951,56578959074.0043,28016427089.829,-0.14769163265423,0.495173957746093
2014,"DLA","Engines",972496534.487027,1121428484.32102,-148931949.833997,579516667.894779,392979866.592248,-0.132805570677268,0.678116589846903
2014,"DLA","Topline",36199404553.974,38471106839.6636,-2271702285.6896,14727836081.5909,21471568472.3831,-0.0590495692041664,1.45789023950515
2014,"Navy","Engines",3177633872.89287,3173730078.00929,3903794.88358602,1263872297.94853,1913761574.94435,0.00123003367886744,1.51420485918609
2014,"Navy","Topline",94333930834.3022,107085125728.769,-12751194894.4668,62222736525.2979,32111194309.0044,-0.119075313286401,0.5160685000723
2015,"Air Force","Engines",1168520638.70441,2082223294.11842,-913702655.414016,3341073252.78117,-2172552614.07676,-0.438811081402709,-0.650255905723795
2015,"Air Force","Topline",59070403297.3986,62578697343.4825,-3508294046.08394,58352469213.8231,717934083.575474,-0.0560621137066433,0.0123034053785234
2015,"Army","Engines",124376993.677442,318381459.568335,-194004465.890893,1032405549.59342,-908028555.915977,-0.609345990667691,-0.879527000095627
2015,"Army","Topline",81109743968.3173,84595386163.8333,-3485642195.51592,56578959074.0043,24530784894.313,-0.0412036915200716,0.433567271222279
2015,"DLA","Engines",761124319.512342,972496534.487027,-211372214.974685,579516667.894779,181607651.617563,-0.217350095839858,0.313377788213223
