"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"172","2001 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2002,38827000,52.5724084010856,"Operational Systems Development"
"173","2001 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2002,174127000,235.770874846263,"Operational Systems Development"
"174","2001 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","63668A","Aircraft Propulsion Subsystems Int",2002,32161000,43.5465327372013,"Advanced Technology Development"
"175","2001 FYDP","RDT&E","Navy","0604214N","AV8B Aircraft (Eng)","H0652","AV-8B",2002,20219000,27.376864693681,"System Development & Demonstration"
"176","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2002,9390000,12.7142172943105,"Applied Research"
"177","2001 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2002,43178000,58.4637352858082,"Applied Research"
"178","2001 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2002,18486000,25.0303536637512,"Advanced Technology Development"
"179","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2002,40849000,55.3102302721289,"Applied Research"
"180","2001 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2002,3680000,4.98278164462861,"Applied Research"
"181","2001 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2003,2634000,3.49960087955434,"Basic Research"
"182","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2003,6980000,9.27380946821918,"Applied Research"
"183","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2003,34457000,45.7804660238436,"Advanced Technology Development"
"184","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2003,3164000,4.20377265865981,"Advanced Technology Development"
"185","2001 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2003,3174000,4.21705891864293,"Operational Systems Development"
"186","2001 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2003,6766000,8.98948350458037,"Advanced Technology Development"
"187","2001 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2003,38593000,51.2756631528629,"Operational Systems Development"
"188","2001 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2003,186200000,247.390160885732,"Operational Systems Development"
"189","2001 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","63668A","Aircraft Propulsion Subsystems Int",2003,32353000,42.9850369233947,"Advanced Technology Development"
"190","2001 FYDP","RDT&E","Navy","0604214N","AV8B Aircraft (Eng)","H0652","AV-8B",2003,1747000,2.32110961905142,"System Development & Demonstration"
"191","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2003,14082000,18.7097113082324,"Applied Research"
"192","2001 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2003,46313000,61.5326558598331,"Applied Research"
"193","2001 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2003,18390000,24.4334321089614,"Advanced Technology Development"
"194","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2003,39966000,53.0998666485455,"Applied Research"
"195","2001 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2003,3815000,5.06870818356106,"Applied Research"
"196","2001 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2004,2656000,3.44352965092727,"Basic Research"
"197","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2004,7466000,9.67974110460202,"Applied Research"
"198","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2004,29990000,38.8823246352819,"Advanced Technology Development"
"199","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2004,3228000,4.18513317514805,"Advanced Technology Development"
"200","2001 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2004,3348000,4.34071433407548,"Operational Systems Development"
"201","2001 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2004,7040000,9.12742799040962,"Advanced Technology Development"
"202","2001 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2004,38361000,49.7354069801283,"Operational Systems Development"
"203","2001 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2004,211043000,273.619287696025,"Operational Systems Development"
"204","2001 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","63668A","Aircraft Propulsion Subsystems Int",2004,27080000,35.1094815312916,"Advanced Technology Development"
"205","2001 FYDP","RDT&E","Navy","0604214N","AV8B Aircraft (Eng)","H0652","AV-8B",2004,8730000,11.318529311971,"System Development & Demonstration"
"206","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2004,14364000,18.6230647236142,"Applied Research"
"207","2001 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2004,47599000,61.7125631982255,"Applied Research"
"208","2001 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2004,18413000,23.8726323277574,"Advanced Technology Development"
"209","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2004,38442000,49.8404242624044,"Applied Research"
"210","2001 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2004,3969000,5.14584683152497,"Applied Research"
"211","2001 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","AF20","Advanced Propulsion Research",2005,2674000,3.36131551865288,"Basic Research"
"212","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2005,7757000,9.75083189161946,"Applied Research"
"213","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2005,26860000,33.7639995628334,"Advanced Technology Development"
"214","2001 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2005,3292000,4.13816405662128,"Advanced Technology Development"
"215","2001 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","D106","Aircraft Engine Component Improvement Program (USA)",2005,3425000,4.30534990702548,"Operational Systems Development"
"216","2001 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","D447","ACFT Demo Engines",2005,7362000,9.25430248628367,"Advanced Technology Development"
"217","2001 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2005,38382000,48.2475737610079,"Operational Systems Development"
"218","2001 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2005,168638000,211.984116093712,"Operational Systems Development"
"219","2001 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","63668A","Aircraft Propulsion Subsystems Int",2005,23423000,29.4435652181775,"Advanced Technology Development"
"220","2001 FYDP","RDT&E","Navy","0604214N","AV8B Aircraft (Eng)","H0652","AV-8B",2005,8620000,10.835654364543,"System Development & Demonstration"
"221","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2005,14564000,18.3074791374946,"Applied Research"
"222","2001 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2005,48058000,60.4106586370308,"Applied Research"
"223","2001 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2005,18540000,23.3054561390518,"Advanced Technology Development"
"224","2001 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2005,35304000,44.3784155087964,"Applied Research"
"225","2001 FYDP","RDT&E","Army","0602211A","Aviation Technology","A47B","Veh Prop & Struct Tech",2005,4068000,5.11362435672398,"Applied Research"
"226","2002 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2000,3757000,5.29309512705986,"Operational Systems Development"
"227","2002 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2000,6757000,9.51968160062376,"Advanced Technology Development"
"228","2002 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2000,2423000,3.41367300848178,"Basic Research"
"229","2002 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2000,0,0,"Applied Research"
"230","2002 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2000,31841000,44.8595799682494,"Advanced Technology Development"
"231","2002 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2000,2134000,3.00651184486179,"Advanced Technology Development"
"232","2002 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2000,151546000,213.507424574238,"Operational Systems Development"
"233","2002 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2000,35990000,50.7049490611883,"Operational Systems Development"
"234","2002 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","668A","Aircraft Propulsion Subsystems Int",2000,18912000,26.6444011293468,"Advanced Technology Development"
"235","2002 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2000,0,0,"Advanced Technology Development"
"236","2002 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","H0652","AV-8B",2000,708000,0.997474407761081,"System Development & Demonstration"
"237","2002 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2000,11247000,15.8454726893911,"Applied Research"
"238","2002 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2000,50451000,71.0785047259241,"Applied Research"
"239","2002 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2000,19577000,27.5812944643202,"Advanced Technology Development"
"240","2002 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3066","Turbine Engine Technology",2000,38979000,54.9160380510158,"Applied Research"
"241","2002 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2000,3246000,4.57316656439614,"Applied Research"
"242","2002 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2001,5873000,8.0808312153175,"Operational Systems Development"
"243","2002 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2001,6835000,9.40447494580199,"Advanced Technology Development"
"244","2002 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2001,2487000,3.42193550698018,"Basic Research"
"245","2002 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3012","Advanced Propulsion Technology",2001,0,0,"Applied Research"
"246","2002 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","681B","Advanced Turbine Engine Gas Generator",2001,37470000,51.5560608952744,"Advanced Technology Development"
"247","2002 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","2480","Aerospace Fuels",2001,3542000,4.87354063760507,"Advanced Technology Development"
"248","2002 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","1012","Aircraft Engine Component Improvement Program (USAF)",2001,165395000,227.571782540003,"Operational Systems Development"
"249","2002 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","W1355","Aircraft Engine Component Improvement Program (USN)",2001,38622000,53.1411311421748,"Operational Systems Development"
"250","2002 FYDP","RDT&E","Air Force","0603202F","Aerospace Propulsion Subsystems Integration","668A","Aircraft Propulsion Subsystems Int",2001,34619000,47.6332872200028,"Advanced Technology Development"
"251","2002 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","4921","Aircraft Propulsion Subsystems Int",2001,0,0,"Advanced Technology Development"
"252","2002 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Eng Dev","H0652","AV-8B",2001,6188000,8.51424886095431,"System Development & Demonstration"
"253","2002 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","3048","Combustion and Mechanical Systems",2001,8735000,12.0187401099606,"Applied Research"
"254","2002 FYDP","RDT&E","Air Force","0602102F","Materials","4347","Materials for Structures, Propulsion, and Subsystems",2001,63539000,87.4251548765637,"Applied Research"
"255","2002 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","2308","Advanced Aerospace Propulsion",2001,21449000,29.5123018452827,"Advanced Technology Development"
